Title_id,Title,Hulu_rank
14,Attack on Titan,
16,Fullmetal Alchemist: Brotherhood,
17,Community,
19,Parks and Recreation,
23,Twin Peaks,
24,One-Punch Man,
28,The Good Place,
36,Grey's Anatomy,
38,Arrested Development,
43,How to Get Away with Murder,
55,Family Guy,
56,Pretty Little Liars,
60,The Twilight Zone,
64,Star Trek: The Next Generation,
72,The Good Wife,
86,Death Note,
89,Burn Notice,
94,American Horror Story,
100,Star Trek,
104,Good Girls,
124,Mushi-Shi,
129,Hunter x Hunter,
133,Naruto,
141,Star Trek: Deep Space Nine,
152,Law & Order: Special Victims Unit,
159,Mystery Science Theater 3000,
180,Star Trek: Voyager,
185,Bleach,
194,Haikyu!!,
203,Soul Eater,
206,Merlin,
212,Absolutely Fabulous,
214,Malcolm in the Middle,
222,Case Closed,
230,Fairy Tail,
241,Pokémon,
242,Cheers,
244,Star Trek: Enterprise,
252,JoJo's Bizarre Adventure,
268,ERASED,
280,Rurouni Kenshin,
282,InuYasha,
287,Descendants of the Sun,
290,Your Lie in April,
291,Ancient Aliens,
292,Sword Art Online,
306,Parasyte -the maxim-,
320,Private Practice,
322,Akame ga Kill!,
338,Rake,
347,H2O: Just Add Water,
351,Black Butler,
368,Animaniacs,
385,CSI: Miami,
411,My Little Pony: Friendship Is Magic,
417,Ouran High School Host Club,
419,The Curse of Oak Island,
434,Clannad,
447,We Bare Bears,
456,Vampire Knight,
459,Taken,
461,Forensic Files,
467,Magi,
503,Is It Wrong to Try to Pick Up Girls in a Dungeon?,
517,America's Funniest Home Videos,
522,Durarara!!,
524,Puella Magi Madoka Magica,
526,Maid Sama!,
529,Boys Over Flowers,
536,Fate/stay night [Unlimited Blade Works],
563,Fate/stay night,
571,Yu-Gi-Oh!,
572,Blue Exorcist,
595,K-ON!,
611,"Drugs, Inc.",
615,"Love, Chunibyo & Other Delusions",
639,The Cleveland Show,
640,Monthly Girls' Nozaki-kun,
647,The Code,
674,Offspring,
686,Billy on the Street,
687,Cold Case Files,
701,Sonic x,
704,Girls und Panzer,
730,Hoarders,
744,Champions,
789,Sword Art Online Alternative: Gun Gale Online,
797,Hellevator,
833,"Acero, Woman of Steel",
851,Ultraviolet,
877,Hangar 1: The UFO Files,
879,Marlon,
908,The Dick Van Dyke Show,
924,Pocoyo,
927,Skin Wars,
928,Dueños del Paraíso,
935,Great British Menu,
960,Nazi Megastructures,
967,El Clon,
997,Yu-Gi-Oh! Arc-V,
1000,America's Book of Secrets,
1024,Fated to Love You,
1026,The Bachelor,
1040,Rabbids Invasion,
1125,Chuggington,
1128,Steampunk'd,
1225,Nura: Rise of the Yokai Clan,
1259,Oddbods,
1322,Yu-Gi-Oh! Zexal,
1341,Inside the Criminal Mind,
1356,LEGO Friends,
1389,The New Adventures of Figaro Pho,
1392,Monster Fish,
1481,The Rap Game,
1557,Jack Hanna's Into the Wild,
1563,Polly Pocket,
1575,Corazón Valiente,
1605,Pororo the Little Penguin,
1658,Tayo the Little Bus,
1932,Rick and Morty,
1933,Fargo,
1934,Vikings,
1935,Brooklyn Nine-Nine,
1936,The Simpsons,
1937,Lost,
1938,Prison Break,
1939,Modern Family,
1940,Firefly,
1941,Seinfeld,
1942,It's Always Sunny in Philadelphia,
1943,Killing Eve,
1944,South Park,
1945,How I Met Your Mother,
1946,Futurama,
1947,The Handmaid's Tale,
1948,Sons of Anarchy,
1949,Gravity Falls,
1950,What We Do in the Shadows,
1951,Archer,
1952,This Is Us,
1953,Pride and Prejudice,
1954,Justified,
1955,Scrubs,
1956,The X-Files,
1957,My Hero Academia,
1958,Adventure Time,
1959,24,
1960,White Collar,
1961,Friday Night Lights,
1962,Mr. Bean,
1963,Buffy the Vampire Slayer,
1964,Bob's Burgers,
1965,30 Rock,
1966,Legion,
1967,Elementary,
1968,Taboo,
1969,Atlanta,
1970,The Shield,
1971,Normal People,
1972,The Office,
1973,Black Books,
1974,Naruto Shippūden,
1975,09-01-2001,
1976,Misfits,
1977,Veronica Mars,
1978,11.22.63,
1979,Frasier,
1980,Line of Duty,
1981,Bones,
1982,Steins;Gate,
1983,The Killing,
1984,The Good Doctor,
1985,Preacher,
1986,The Orville,
1987,Peep show,
1988,Desperate Housewives,
