Title_id,Age,IMDb,Rotten_tomatoes
1,18+,9.5,96%
2,16+,8.8,93%
3,18+,8.4,91%
4,16+,9.1,78%
5,18+,8.7,97%
6,16+,8.9,81%
7,18+,8.8,83%
8,16+,8.4,93%
9,18+,8.8,92%
10,7+,9.2,100%
11,18+,8.2,81%
12,16+,8.7,94%
13,18+,8.4,81%
14,16+,8.8,94%
15,18+,8.8,89%
16,18+,9.1,100%
17,7+,8.5,88%
18,18+,8.6,96%
19,16+,8.6,93%
20,18+,8.6,72%
21,18+,8.6,92%
22,18+,8.3,67%
23,18+,8.8,89%
24,16+,8.8,100%
25,18+,8.4,91%
26,18+,8.7,78%
27,18+,8.6,85%
28,16+,8.2,97%
29,18+,8.7,93%
30,16+,8.0,91%
31,7+,7.7,89%
32,18+,8.4,91%
33,16+,8.6,94%
34,16+,8.2,87%
35,18+,8.1,90%
36,16+,7.6,83%
37,18+,8.1,93%
38,16+,8.7,75%
39,7+,7.7,85%
40,18+,8.7,89%
41,16+,7.7,92%
42,18+,8.9,96%
43,16+,8.1,88%
44,18+,8.5,70%
45,18+,7.6,97%
46,18+,8.7,93%
47,16+,8.0,97%
48,18+,8.2,91%
49,16+,7.5,94%
50,18+,8.1,91%
51,18+,8.1,94%
52,18+,8.3,86%
53,18+,8.7,92%
54,18+,8.4,93%
55,18+,8.1,71%
56,16+,7.4,81%
57,18+,8.4,97%
58,16+,7.6,85%
59,16+,8.5,87%
60,7+,9.0,82%
61,18+,7.8,91%
62,16+,8.3,94%
63,18+,7.8,86%
64,7+,8.6,89%
65,18+,8.4,92%
66,18+,8.4,96%
67,18+,8.1,64%
68,16+,8.0,95%
69,18+,8.5,78%
70,18+,8.0,83%
71,16+,7.7,94%
72,16+,8.3,94%
73,16+,7.9,77%
74,18+,8.5,63%
75,18+,8.4,99%
76,18+,8.3,100%
77,18+,8.1,93%
78,16+,8.4,50%
79,18+,8.4,88%
80,16+,8.8,75%
81,18+,8.2,93%
82,18+,8.3,87%
83,7+,7.7,80%
84,18+,8.7,94%
85,16+,8.6,84%
86,18+,9.0,
87,18+,8.2,93%
88,16+,7.0,86%
89,7+,7.9,88%
90,16+,8.3,100%
91,18+,7.9,96%
92,7+,9.3,93%
93,18+,8.0,100%
94,18+,8.0,
95,16+,7.8,77%
96,18+,7.6,85%
97,16+,8.1,
98,18+,9.1,98%
99,18+,7.9,68%
100,7+,8.3,80%
101,16+,7.9,84%
102,18+,7.6,72%
103,18+,8.4,90%
104,16+,7.9,87%
105,16+,7.6,84%
106,16+,7.7,85%
107,16+,8.1,85%
